subid,attribution_technical,attribution_survey,convert_TF,Tier,revenue,,
20000009,facebook,facebook,FALSE,3,#REF!,,
20000048,facebook,facebook,TRUE,8,36.1495,,
20000094,search,youtube,TRUE,7,18.0931,,
20000104,display,facebook_organic,FALSE,7,#REF!,,
20000261,facebook,facebook,TRUE,3,18.3867,,
20000563,facebook,facebook,TRUE,8,18.0931,,
20000577,facebook,facebook,TRUE,2,#REF!,,
20000604,facebook,facebook,FALSE,5,#REF!,,
20000638,facebook,facebook,FALSE,8,#REF!,,
20000741,facebook,facebook,TRUE,4,18.0931,,
20000796,facebook,referral,TRUE,2,36.1495,,
20000863,facebook,facebook,TRUE,3,18.717,,
20000966,facebook,facebook,FALSE,4,#REF!,,
20001034,facebook,facebook,FALSE,4,#REF!,,
20001209,facebook,facebook,FALSE,8,#REF!,,
20001231,facebook,tv,FALSE,7,#REF!,,
20001429,search,facebook,FALSE,6,#REF!,,
20001679,facebook,social_organic,TRUE,8,18.717,,
20001713,search,search,TRUE,1,54.2059,,
20001794,search,search,TRUE,3,18.0931,,
20001820,facebook,facebook,FALSE,2,#REF!,,
20001981,facebook,facebook,TRUE,7,#REF!,,
20001988,search,tv,FALSE,2,#REF!,,
20002159,search,podcast,TRUE,6,18.0931,,
20002214,facebook,,TRUE,4,18.0931,,
20002351,search,referral,TRUE,7,18.717,,
20002461,facebook,facebook,FALSE,1,#REF!,,
20002462,search,facebook,FALSE,3,#REF!,,
20002507,youtube,youtube,TRUE,5,18.0564,,
20002552,facebook,facebook,TRUE,4,#REF!,,
20002587,facebook,facebook,FALSE,6,#REF!,,
20002974,facebook,facebook,TRUE,5,#REF!,,
20003176,facebook,facebook,FALSE,5,#REF!,,
20003226,search,other,FALSE,3,#REF!,,
20003308,search,facebook,TRUE,4,36.1495,,
20003354,facebook,facebook_organic,TRUE,8,18.717,,
20003379,facebook,facebook,FALSE,6,#REF!,44515,tech_dis_att
20003504,facebook,facebook,FALSE,1,#REF!,,
20003508,facebook,facebook,TRUE,2,#REF!,,
20003552,search,facebook,FALSE,1,#REF!,,
20003598,facebook,facebook,TRUE,2,18.0931,,
20003789,facebook,facebook,TRUE,8,18.0931,,
20003829,facebook,facebook,TRUE,6,18.0931,,
20003871,facebook,facebook,TRUE,6,#REF!,,
20003974,search,facebook,FALSE,2,#REF!,,
20004247,facebook,facebook,TRUE,4,36.1495,,
20004294,facebook,facebook,TRUE,7,18.0931,,
20004349,search,referral,TRUE,3,36.1495,,
20004423,facebook,facebook,FALSE,6,#REF!,,
20004432,search,facebook,TRUE,8,18.717,,
20004453,facebook,facebook,TRUE,6,#REF!,,
20004489,facebook,facebook,FALSE,1,#REF!,,
20004602,facebook,facebook,TRUE,3,#REF!,,
20004756,facebook,facebook,TRUE,6,#REF!,,
20004758,facebook,facebook,TRUE,6,18.3867,,
20004791,facebook,sirius xm,TRUE,4,36.1495,,
20004912,facebook,facebook,FALSE,5,#REF!,,
20004935,facebook,pinterest,TRUE,2,36.1495,,
20004937,facebook,facebook,TRUE,4,#REF!,,
20005028,search,facebook,TRUE,7,18.0931,,
20005103,search,facebook,TRUE,2,18.0931,,
20005210,facebook,facebook,TRUE,4,36.1495,,
20005220,search,other,TRUE,5,18.0931,,
20005430,facebook,facebook,TRUE,2,#REF!,,
20005446,facebook,facebook,TRUE,7,#REF!,,
20005502,facebook,social_organic,TRUE,5,18.3867,,
20005581,search,other,TRUE,5,18.1665,,
20005631,facebook,facebook,TRUE,7,36.1495,,
20005637,search,referral,FALSE,1,#REF!,,
20005663,facebook,facebook,TRUE,7,36.1495,,
20005666,facebook,facebook,FALSE,4,#REF!,,
20005741,facebook,facebook,FALSE,8,#REF!,,
20005873,facebook,facebook,FALSE,8,#REF!,,
20006067,facebook,facebook,FALSE,4,#REF!,,
20006146,facebook,facebook,TRUE,7,36.1495,,
20006160,facebook,facebook,FALSE,1,#REF!,,
20006249,facebook,tv,FALSE,3,#REF!,,
20006483,facebook,facebook,FALSE,4,#REF!,,
20006518,facebook,tv,TRUE,4,#REF!,,
20006524,facebook,facebook,FALSE,1,#REF!,,
20007012,facebook,facebook,TRUE,7,18.0931,,
20007036,facebook,facebook,FALSE,3,#REF!,,
20007058,facebook,facebook,TRUE,3,#REF!,,
20007095,facebook,facebook,FALSE,6,#REF!,,
20007128,facebook,affiliate,TRUE,8,18.0931,,
20007140,search,tv,TRUE,8,18.717,,
20007222,facebook,social_organic,TRUE,7,36.1495,,
20007373,bing,youtube,TRUE,8,18.3867,,1103768.832
20007471,facebook,facebook,TRUE,6,18.1665,,
20007484,facebook,facebook,TRUE,8,#REF!,,
20007495,facebook,facebook,FALSE,7,#REF!,,
20007518,facebook,facebook,FALSE,3,#REF!,,
20007537,facebook,direct_mail,FALSE,1,#REF!,,
20007567,youtube,youtube,TRUE,7,18.3867,,
20007611,search,facebook,FALSE,7,#REF!,,
20007613,facebook,facebook,FALSE,1,#REF!,,
20007858,facebook,facebook,TRUE,3,18.0931,,
20007913,facebook,facebook,TRUE,8,#REF!,,
20007957,facebook,facebook,FALSE,2,#REF!,,
20008098,facebook,facebook,FALSE,1,#REF!,,
20008119,facebook,facebook,FALSE,6,#REF!,,
20008483,facebook,facebook,TRUE,7,#REF!,,
20008512,search,tv,TRUE,3,36.1495,,
20008532,facebook,facebook,TRUE,8,18.0931,,
20008630,facebook,facebook,FALSE,2,#REF!,,
20008677,facebook,tv,FALSE,8,#REF!,,
20008910,search,tv,FALSE,2,#REF!,,
20009078,facebook,facebook,TRUE,5,18.0931,,
20009088,facebook,facebook,FALSE,6,#REF!,,
20009097,facebook,tv,FALSE,1,#REF!,,
20009305,facebook,facebook,FALSE,8,#REF!,,
20009322,facebook,facebook,FALSE,6,#REF!,,
20009354,search,tv,FALSE,5,#REF!,,
20009508,facebook,facebook,FALSE,4,#REF!,,
20009736,facebook,facebook,TRUE,8,36.1495,,
20009950,facebook,referral,TRUE,6,18.0931,,
20009987,search,referral,TRUE,8,#REF!,,
20010111,facebook,facebook,FALSE,2,#REF!,,
20010146,facebook,facebook,TRUE,7,18.0931,,
20010217,facebook,social_organic,TRUE,7,36.1495,,
20010527,facebook,facebook,FALSE,7,#REF!,,
20010696,facebook,facebook,FALSE,8,#REF!,,
20010936,facebook,facebook,FALSE,7,#REF!,,
20011044,search,search,FALSE,6,#REF!,,
20011073,facebook,facebook,FALSE,4,#REF!,,
20011108,facebook,facebook,FALSE,5,#REF!,,
20011257,facebook,facebook,FALSE,1,#REF!,,
20011266,facebook,facebook,FALSE,1,#REF!,,
20011330,search,facebook,TRUE,4,#REF!,,
20011391,facebook,facebook,TRUE,7,36.1495,,
20011631,facebook,facebook,TRUE,8,#REF!,,
20011827,facebook,facebook,TRUE,3,18.0931,,
20011883,search,tv,TRUE,5,18.0931,,
20011933,facebook,facebook,FALSE,1,#REF!,,
20011974,display,search,TRUE,8,18.0931,,
20012130,search,,TRUE,1,36.1495,,
20012237,search,search,TRUE,1,18.0931,,
20012800,facebook,facebook,TRUE,5,18.717,,
20012911,search,social_organic,TRUE,2,36.1495,,
20012997,facebook,tv,FALSE,1,#REF!,,
20013473,facebook,facebook,FALSE,1,#REF!,,
20013725,search,facebook,FALSE,4,#REF!,,
20013781,search,facebook,FALSE,3,#REF!,,
20013806,search,other,FALSE,5,#REF!,,
20013874,facebook,facebook,TRUE,7,36.1495,,
20013958,search,referral,TRUE,8,#REF!,,
20014099,search,facebook,TRUE,4,36.1495,,
20014229,search,search,TRUE,6,18.3867,,
20014263,search,tv,FALSE,6,#REF!,,
20014427,facebook,facebook,FALSE,4,#REF!,,
20014647,facebook,tv,TRUE,3,18.717,,
20014697,facebook,facebook,TRUE,8,18.0931,,
20014698,facebook,facebook,FALSE,5,#REF!,,
20014806,facebook,facebook,FALSE,8,#REF!,,
20014964,facebook,facebook,FALSE,1,#REF!,,
20015052,facebook,facebook,TRUE,7,#REF!,,
20015140,facebook,facebook,TRUE,8,36.1495,,
20015187,facebook,facebook,FALSE,1,#REF!,,
20015252,facebook,facebook,TRUE,3,18.1665,,
20015519,search,tv,FALSE,8,#REF!,,
20015714,facebook,facebook,TRUE,6,#REF!,,
20015874,search,referral,TRUE,8,18.3867,,
20016048,facebook,facebook,TRUE,8,20.1483,,
20016258,facebook,facebook,TRUE,8,18.0931,,
20016338,facebook,tv,TRUE,3,18.3867,,
20016394,facebook,facebook,TRUE,4,18.0931,,
20016563,search,tv,TRUE,6,18.717,,
20016777,search,tv,TRUE,8,18.0931,,
20016919,facebook,facebook,TRUE,8,#REF!,,
20017088,facebook,facebook,TRUE,8,18.0931,,
20017115,search,facebook,TRUE,6,#REF!,,
20017313,search,tv,FALSE,8,#REF!,,
20017316,facebook,facebook,FALSE,7,#REF!,,
20017384,facebook,pinterest,TRUE,4,36.1495,,
20017554,facebook,facebook,TRUE,5,#REF!,,
20017748,facebook,facebook,FALSE,6,#REF!,,
20017825,facebook,facebook,FALSE,6,#REF!,,
20017981,facebook,facebook,FALSE,1,#REF!,,
20018052,facebook,facebook,FALSE,4,#REF!,,
20018144,facebook,facebook,FALSE,5,#REF!,,
20018230,search,facebook,TRUE,5,36.1495,,
20018282,facebook,facebook,FALSE,8,#REF!,,
20018326,facebook,facebook,FALSE,6,#REF!,,
20018557,display,public_radio,TRUE,5,18.0931,,
20018591,facebook,search,TRUE,7,36.1495,,
20018708,facebook,facebook,TRUE,6,#REF!,,
20018722,search,other,TRUE,6,18.0931,,
20018725,facebook,facebook,TRUE,7,#REF!,,
20018820,facebook,facebook,FALSE,7,#REF!,,
20019176,search,tv,FALSE,1,#REF!,,
20019407,search,search,TRUE,6,18.717,,
20019638,facebook,tv,FALSE,4,#REF!,,
20019760,facebook,facebook,FALSE,8,#REF!,,
20019833,facebook,other,TRUE,7,36.1495,,
20019870,facebook,tv,FALSE,8,#REF!,,
20020068,search,search,TRUE,7,#REF!,,
20020209,search,facebook,TRUE,6,18.0931,,
20020441,facebook,facebook,TRUE,8,36.1495,,
20020486,facebook,facebook,FALSE,7,#REF!,,
20020652,search,search,TRUE,8,18.0931,,
20020699,facebook,facebook,TRUE,6,18.0931,,
20020818,facebook,social_organic,TRUE,1,54.2059,,
20020949,facebook,tv,TRUE,8,18.0931,,
20021137,facebook,facebook,TRUE,6,18.0931,,
20021711,facebook,facebook,FALSE,1,#REF!,,
20021755,facebook,facebook,FALSE,5,#REF!,,
20021994,facebook,facebook,TRUE,6,#REF!,,
20022048,search,other,TRUE,6,18.0931,,
20022087,facebook,facebook,FALSE,6,#REF!,,
20022151,facebook,facebook,FALSE,7,#REF!,,
20022227,facebook,facebook,FALSE,1,#REF!,,
20022242,search,ott,TRUE,8,18.0931,,
20022293,facebook,facebook,FALSE,2,#REF!,,
20022423,facebook,facebook,TRUE,8,18.1665,,
20022480,facebook,referral,TRUE,7,36.1495,,
20022591,facebook,facebook,TRUE,1,18.0931,,
20022719,facebook,facebook,TRUE,7,#REF!,,
20022760,search,other,FALSE,1,#REF!,,
20022998,facebook,facebook,FALSE,7,#REF!,,
20023070,facebook,facebook,FALSE,5,#REF!,,
20023145,facebook,facebook,TRUE,7,#REF!,,
20023159,facebook,facebook,FALSE,4,#REF!,,
20023251,facebook,facebook,FALSE,6,#REF!,,
20023314,facebook,youtube,TRUE,5,18.1665,,
20023464,search,facebook,FALSE,1,#REF!,,
20023497,facebook,facebook,FALSE,1,#REF!,,
20023520,search,tv,FALSE,2,#REF!,,
20023967,facebook,facebook,TRUE,3,18.0931,,
20023997,facebook,facebook,FALSE,8,#REF!,,
20024020,facebook,facebook,FALSE,1,#REF!,,
20024096,facebook,facebook,FALSE,2,#REF!,,
20024103,facebook,facebook,FALSE,5,#REF!,,
20024116,search,other,TRUE,6,18.0931,,
20024156,facebook,facebook,FALSE,4,#REF!,,
20024166,facebook,facebook,FALSE,2,#REF!,,
20024274,facebook,facebook,TRUE,5,18.0931,,
20024369,facebook,facebook,FALSE,1,#REF!,,
20024463,facebook,facebook,TRUE,2,36.1495,,
20024473,facebook,tv,TRUE,8,#REF!,,
20024495,facebook,facebook,TRUE,7,36.1495,,
20024669,search,facebook,TRUE,5,#REF!,,
20024735,search,tv,TRUE,4,#REF!,,
20024873,search,search,TRUE,6,18.0931,,
20025093,facebook,facebook,FALSE,1,#REF!,,
20025110,search,referral,TRUE,6,#REF!,,
20025156,facebook,facebook,TRUE,8,18.0931,,
20025158,search,other,TRUE,6,18.0931,,
20025231,facebook,facebook,TRUE,6,18.0931,,
20025778,facebook,facebook,TRUE,8,18.0931,,
20025953,facebook,facebook,FALSE,4,#REF!,,
20026003,facebook,facebook,TRUE,7,36.1495,44749,
20026092,facebook,facebook,TRUE,8,36.1495,,
20026447,facebook,facebook,FALSE,5,#REF!,,
